ticker,score_date,physical_raw,physical_norm,physical_confidence,quality_score,quality_confidence,roic_wacc_spread,margin_snr,inflation_convexity,crowding_score,crowding_confidence,etf_correlation,trends_norm,short_pct,composite_score,composite_confidence,mu_estimate,sigma_estimate,kelly_fraction,kelly_25pct,entry_signal,exit_signal,autocorr_delta,absorption_delta,etf_corr_score,short_interest_score,swing_score,swing_confidence,rs_rank,breakout_score,vcp_score
CACI,2026-04-20,2.0,0.999,1.0,0.0,0.0,,,,0.2174,0.4239,,,,0.0,0.4222,0.0429,,,,False,True,-0.3099,0.0,0.0,0.0,0.1895,1.0,0.2692,0.0,0.4091
MOG.A,2026-04-20,1.5,0.999,1.0,0.0,0.0,,,,0.5,0.0,,,,,0.3233,,,,,False,False,0.0,0.0,0.0,0.0,0.3,0.0,0.5,0.0,0.5
SRP.L,2026-04-20,1.5,0.999,1.0,1.0,0.75,1.194,31.9522,-0.1019,0.5507,0.4239,,,,0.4489,0.8072,0.1657,,,,False,False,-0.02,0.0,1.0,0.0,0.2825,1.0,0.5385,0.0681,0.1994
DCO,2026-04-20,1.5,0.999,1.0,0.0,0.0,,,,0.4571,0.4239,,,,0.0,0.4222,0.0429,,,,False,True,0.0172,0.0,0.0752,0.0,0.5277,1.0,0.8077,0.368,0.2873
VVX,2026-04-20,1.5,0.999,1.0,0.0,0.0,,,,0.3809,0.4239,,,,0.0,0.4222,0.0429,,,,False,True,-0.0743,0.0,0.0,0.0,0.2357,1.0,0.375,0.0063,0.4158
CWCO,2026-04-20,1.5,0.999,1.0,0.0,0.0,,,,0.4995,0.4239,,,,0.0,0.4222,0.0429,,,,False,True,0.0893,0.0,0.0,0.0,0.205,1.0,0.3558,0.0,0.3133
RGLD,2026-04-20,1.5,0.999,1.0,0.0,0.0,,,,0.7051,0.4239,,,,0.0,0.4222,0.0429,,,,False,True,0.2538,0.0,0.6623,0.0,0.2992,1.0,0.4952,0.0,0.5058
PAAS,2026-04-20,1.5,0.999,1.0,0.0,0.0,,1.2354,1.7938,0.6571,0.4239,,,,0.0,0.6322,0.0429,,,,False,True,0.1268,0.0,1.0,0.0,0.4287,1.0,0.7548,0.0,0.6338
NMG,2026-04-20,1.5,0.999,1.0,0.0,0.2333,-12.8199,,,0.4707,0.4239,,,,0.0,0.4767,0.0429,,,,False,True,-0.0229,0.0,0.4023,0.0,0.1111,1.0,0.1442,0.0,0.2671
BHP,2026-04-20,1.5,0.999,1.0,1.0,0.75,0.2114,25.2081,1.0197,0.5378,0.4239,,,,0.4617,0.8072,0.1814,,,,False,False,-0.0378,0.0,1.0,0.0,0.422,1.0,0.5865,0.2066,0.5237
ALAB,2026-04-20,1.5,0.999,1.0,0.0,0.0,,,,0.3501,0.4239,,,,0.0,0.4222,0.0429,,,,False,True,-0.1324,0.0,0.0861,0.0,0.3789,1.0,0.7837,0.0,0.3272
LITE,2026-04-20,2.0,0.999,1.0,0.0,0.0,,,,0.4285,0.4239,,,,0.0,0.4222,0.0429,,,,False,True,-0.0087,0.0,0.0,0.0,0.6031,1.0,0.9952,0.3769,0.2714
RMBS,2026-04-20,1.5,0.999,1.0,0.0,0.0,,,,0.4657,0.4239,,,,0.0,0.4222,0.0429,,,,False,True,0.0426,0.0,0.0,0.0,0.4976,1.0,0.7596,0.3746,0.2198
AMAT,2026-04-20,1.5,0.999,1.0,0.0,0.0,,,,0.552,0.4239,,,,0.0,0.4222,0.0429,,,,False,True,0.1423,0.0,0.1083,0.0,0.5768,1.0,0.9087,0.3282,0.4102
LRCX,2026-04-20,1.5,0.999,1.0,0.0,0.0,,,,0.5173,0.4239,,,,0.0,0.4222,0.0429,,,,False,True,0.0949,0.0,0.1054,0.0,0.5756,1.0,0.9567,0.3253,0.314
NXPI,2026-04-20,2.0,0.999,1.0,0.0,0.0,,,,0.3919,0.4239,,,,0.0,0.4222,0.0429,,,,False,True,-0.0787,0.0,0.1085,0.0,0.1641,1.0,0.1971,0.0,0.4264
AMKR,2026-04-20,1.5,0.999,1.0,0.0,0.0,,,,0.4421,0.4239,,,,0.0,0.4222,0.0429,,,,False,True,-0.0649,0.0,0.4163,0.0,0.5948,1.0,0.9375,0.4549,0.1891
